time,vehicles
0,0
6,0
12,0
18,0
24,0
30,0
36,0
42,0
48,0
54,0
60,0
66,0
72,0
78,0
84,0
100,0
106,0
112,0
118,0
124,0
130,0
136,0
142,0
148,0
154,0
160,0
166,0
172,0
178,0
184,0
200,0
206,0
212,0
218,0
224,0
230,0
236,0
242,0
248,0
254,0
